RO Collinge,4.0,8,1,9,1,1.68,England,Wellington,Sun Mar 09 00:00:00 GMT 1975
DR Hadlee,3.0,8,0,6,0,1.5,England,Wellington,Sun Mar 09 00:00:00 GMT 1975
BE Congdon,2.0,8,0,14,0,5.25,England,Wellington,Sun Mar 09 00:00:00 GMT 1975
Sir RJ Hadlee,1.0,8,0,4,0,3.0,England,Wellington,Sun Mar 09 00:00:00 GMT 1975
S Madan Lal,12.0,6,1,64,1,5.33,England,Lord's,Sat Jun 07 00:00:00 BST 1975
M Amarnath,12.0,6,2,60,1,5.0,England,Lord's,Sat Jun 07 00:00:00 BST 1975
S Abid Ali,12.0,6,0,58,2,4.83,England,Lord's,Sat Jun 07 00:00:00 BST 1975
KD Ghavri,11.0,6,1,83,0,7.54,England,Lord's,Sat Jun 07 00:00:00 BST 1975
S Venkataraghavan,12.0,6,0,41,0,3.41,England,Lord's,Sat Jun 07 00:00:00 BST 1975
ED Solkar,1.0,6,0,12,0,12.0,England,Lord's,Sat Jun 07 00:00:00 BST 1975
JA Snow,12.0,6,2,24,0,2.0,India,Lord's,Sat Jun 07 00:00:00 BST 1975
GG Arnold,10.0,6,2,20,1,2.0,India,Lord's,Sat Jun 07 00:00:00 BST 1975
CM Old,12.0,6,4,26,1,2.16,India,Lord's,Sat Jun 07 00:00:00 BST 1975
AW Greig,9.0,6,1,26,0,2.88,India,Lord's,Sat Jun 07 00:00:00 BST 1975
B Wood,5.0,6,2,4,0,0.8,India,Lord's,Sat Jun 07 00:00:00 BST 1975
P Lever,10.0,6,0,16,1,1.6,India,Lord's,Sat Jun 07 00:00:00 BST 1975
JA Jameson,2.0,6,1,3,0,1.5,India,Lord's,Sat Jun 07 00:00:00 BST 1975
J Nagenda,9.0,6,1,50,1,5.55,New Zealand,Birmingham,Sat Jun 07 00:00:00 BST 1975
Frasat Ali,9.0,6,0,50,0,5.55,New Zealand,Birmingham,Sat Jun 07 00:00:00 BST 1975
PG Nana,12.0,6,2,34,1,2.83,New Zealand,Birmingham,Sat Jun 07 00:00:00 BST 1975
RK Sethi,10.0,6,1,51,1,5.1,New Zealand,Birmingham,Sat Jun 07 00:00:00 BST 1975
Zulfiqar Ali,12.0,6,0,71,1,5.91,New Zealand,Birmingham,Sat Jun 07 00:00:00 BST 1975
Mehmood Quaraishy,8.0,6,0,39,1,4.87,New Zealand,Birmingham,Sat Jun 07 00:00:00 BST 1975
